"Fusions"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"ACACA--LASP1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--PRKCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--PRKDC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--SRCIN1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--STAC2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--TADA2A"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACB--ACACB"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACB--CTDSP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACB--UNG"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"8"
"ACAD10--ACAD10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAD11--CBFA2T2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAD9--KIAA1257"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACADL--MAML2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACADVL--ACADVL"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACADVL--DLG4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAN--ACAN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAP2--APOD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAP2--IQCG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAP2--QKI"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAP3--CPSF3L"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"4"
"ACAT1--VPRBP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAT2--ACAT2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD3--BOLA2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD3--PARP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD4--TNFAIP8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD5--SH3BP4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--IVNS1ABP"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACBD6--PGBD2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACBD6--TCOF1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--WDR91"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACBD6--XPR1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACE2--CIRH1A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER1--MLL"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER2--C8orf37"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACER2--CSH1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--ACER3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--FCHSD2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACER3--NARS2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"5"
"ACER3--NRL"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACER3--PPME1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACER3--THRSP"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACER3--UVRAG"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACIN1--ACIN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACIN1--DTWD2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACIN1--PTPRN2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACIN1--RIN3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACKR2--CHST10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACKR2--RUNX1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACLY--CNP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACLY--DNAJC7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"4"
"ACLY--NEUROD2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACLY--WEE1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACO1--ACO1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACO1--NFIB"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACO1--TYRP1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACO2--C22orf25"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACO2--EZR"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACO2--FLJ43681"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACO2--PRR5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACO2--TEF"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACO2--ZC3H7B"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"ACOT1--OAS3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACOT11--C8B"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACOT13--CLN5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACOT7--ACOT7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACOT7--FUCA1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACOT7--KLHL21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACOT7--NSMCE2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ACOT7--PLEKHG5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACOT7--RPL22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACOT7--TTC34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACOT7--ZCCHC24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
